,shot_description,shot_count,shot_makes,year,shot_group
17,Running Hook Shot,98,66,2005,POST_MOVES
18,Specialty Dunk,116,106,2005,DUNKS
19,Standard Dunk,1078,966,2005,DUNKS
20,Standard Layup,4488,1854,2005,LAYUPS
21,Tip Shot,418,262,2005,TIP_SHOTS
22,Turnaround Hook Shot,32,18,2005,POST_MOVES
0,2PT Fadeaway Jump Shot,480,242,2006,TWO_POINT_JUMPERS
1,2PT Jump Shot,10158,3714,2006,TWO_POINT_JUMPERS
2,2PT Running Jump Shot,606,340,2006,TWO_POINT_JUMPERS
3,2PT Turnaround Jump Shot,844,452,2006,TWO_POINT_JUMPERS
4,3PT Jump Shot,6114,2140,2006,THREE_POINT_JUMPERS
5,3PT Running Jump Shot,6,2,2006,THREE_POINT_JUMPERS
6,3PT Turnaround Jump Shot,4,0,2006,THREE_POINT_JUMPERS
7,Alley Oop Dunk,112,94,2006,DUNKS
8,Alley Oop Layup,64,38,2006,LAYUPS
9,Driving Dunk,180,178,2006,DUNKS
10,Driving Hook Shot,32,28,2006,POST_MOVES
11,Driving Layup,2020,1468,2006,LAYUPS
12,Finger Roll,226,156,2006,LAYUPS
13,Hook Shot,716,350,2006,POST_MOVES
14,Reverse Dunk,34,30,2006,DUNKS
15,Reverse Layup,348,232,2006,LAYUPS
16,Running Hook Shot,106,64,2006,POST_MOVES
17,Specialty Dunk,76,74,2006,DUNKS
18,Standard Dunk,868,802,2006,DUNKS
19,Standard Layup,4058,1984,2006,LAYUPS
20,Tip Shot,446,222,2006,TIP_SHOTS
21,Turnaround Hook Shot,44,34,2006,POST_MOVES
0,2PT Fadeaway Jump Shot,444,232,2007,TWO_POINT_JUMPERS
1,2PT Jump Shot,8946,3222,2007,TWO_POINT_JUMPERS
2,2PT Running Jump Shot,606,316,2007,TWO_POINT_JUMPERS
3,2PT Turnaround Jump Shot,660,274,2007,TWO_POINT_JUMPERS
4,3PT Fadeaway Jump Shot,14,8,2007,THREE_POINT_JUMPERS
5,3PT Jump Shot,5746,2014,2007,THREE_POINT_JUMPERS
6,3PT Running Jump Shot,10,0,2007,THREE_POINT_JUMPERS
7,3PT Turnaround Jump Shot,2,0,2007,THREE_POINT_JUMPERS
8,Alley Oop Dunk,84,74,2007,DUNKS
9,Alley Oop Layup,58,38,2007,LAYUPS
10,Driving Dunk,126,114,2007,DUNKS
11,Driving Hook Shot,16,10,2007,POST_MOVES
12,Driving Layup,1380,1010,2007,LAYUPS
13,Finger Roll,184,136,2007,LAYUPS
14,Hook Shot,576,294,2007,POST_MOVES
15,Reverse Dunk,34,34,2007,DUNKS
16,Reverse Layup,382,240,2007,LAYUPS
17,Running Hook Shot,62,30,2007,POST_MOVES
18,Specialty Dunk,62,56,2007,DUNKS
19,Standard Dunk,772,716,2007,DUNKS
20,Standard Layup,3746,1748,2007,LAYUPS
21,Tip Shot,510,228,2007,TIP_SHOTS
22,Turnaround Hook Shot,52,26,2007,POST_MOVES
0,2PT Driving Jump Shot,26,8,2008,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,538,292,2008,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,130,96,2008,FLOATING_SHOTS
3,2PT Jump Shot,9310,3040,2008,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,306,264,2008,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,652,374,2008,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,84,60,2008,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,720,410,2008,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,10,8,2008,THREE_POINT_JUMPERS
9,3PT Jump Shot,5936,2062,2008,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,28,22,2008,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,24,2,2008,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,8,8,2008,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,6,0,2008,THREE_POINT_JUMPERS
14,Alley Oop Dunk,172,152,2008,DUNKS
15,Alley Oop Layup,64,40,2008,LAYUPS
16,Driving Dunk,178,170,2008,DUNKS
17,Driving Hook Shot,20,16,2008,POST_MOVES
18,Driving Layup,1606,1316,2008,LAYUPS
19,Finger Roll,178,136,2008,LAYUPS
20,Hook Shot,558,264,2008,POST_MOVES
21,Putback Dunk,106,102,2008,DUNKS
22,Putback Layup,172,128,2008,LAYUPS
23,Reverse Dunk,22,18,2008,DUNKS
24,Reverse Layup,260,160,2008,LAYUPS
25,Running Hook Shot,50,32,2008,POST_MOVES
26,Standard Dunk,824,744,2008,DUNKS
27,Standard Layup,4258,1712,2008,LAYUPS
28,Tip Shot,404,192,2008,TIP_SHOTS
29,Turnaround Hook Shot,58,38,2008,POST_MOVES
0,2PT Driving Jump Shot,78,56,2009,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,590,310,2009,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,178,116,2009,FLOATING_SHOTS
3,2PT Jump Shot,8398,2960,2009,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,314,230,2009,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,700,372,2009,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,118,80,2009,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,674,326,2009,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,8,0,2009,THREE_POINT_JUMPERS
9,3PT Jump Shot,6446,2280,2009,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,40,34,2009,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,22,4,2009,THREE_POINT_JUMPERS
