PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
Tre Jones,1630200,Andrew Nembhard,1629614,11.50472717434811,Josh Giddey,1630581,13.288476529807552,Scotty Pippen Jr.,1630590,13.641975148405947,Brandin Podziemski,1641764,14.730932498459532,Kyle Anderson,203937,15.420066703879984
Tre Mann,1630544,Jordan Clarkson,203903,12.282168970139377,Cam Thomas,1630560,16.046092157375877,Malcolm Brogdon,1627763,16.236631556479356,D'Angelo Russell,1626156,17.758348078001475,,,
Trendon Watford,1630570,Kyle Kuzma,1628398,16.531658879174934,Jaime Jaquez Jr.,1631170,16.540768699531483,Keldon Johnson,1629640,16.711234829251598,P.J. Washington,1629023,17.08439058315186,Bruce Brown,1628971,17.111576929663382
Trevelin Queen,1630243,Cason Wallace,1641717,12.272851464484802,Kris Dunn,1627739,12.7036802521719,Josh Okogie,1629006,12.953994447996365,Dyson Daniels,1630700,13.340750449151681,Alex Caruso,1627936,15.152346264266937
Trey Lyles,1626168,Dorian Finney-Smith,1627827,9.919575985481899,Georges Niang,1627777,10.259717718681403,Royce O'Neale,1626220,10.752444364485441,Kenrich Williams,1629026,11.295081814685103,Grant Williams,1629684,11.56308120180611
Trey Murphy III,1630530,Cameron Johnson,1629661,8.422682663893818,De'Andre Hunter,1629631,9.10236031477363,Devin Vassell,1630170,10.679102720919762,Bennedict Mathurin,1631097,10.921029774464905,Brice Sensabaugh,1641729,10.984666843422959
Tristan da Silva,1641783,Jalen Wilson,1630592,9.635811237473733,Tidjane Salaun,1642275,9.796020670274348,Dalton Knecht,1642261,9.988262268526688,Jaylen Wells,1642377,10.622655584093064,Tyrese Martin,1631213,10.663315427851222
Ty Jerome,1629660,Tyrese Haliburton,1630169,13.261290389013192,Cameron Payne,1626166,13.622575417197247,Fred VanVleet,1627832,14.510802066733252,Tyus Jones,1626145,14.816928791237507,Payton Pritchard,1630202,15.202599098111687
Tyler Herro,1629639,Malik Monk,1628370,8.630949510282797,Jalen Green,1630224,9.274623379059914,Darius Garland,1629636,9.699296657632708,Austin Reaves,1630559,10.039625434069684,Anthony Edwards,1630162,10.567392207519216
Tyrese Haliburton,1630169,Fred VanVleet,1627832,10.219953473718807,Tyus Jones,1626145,11.721060250828755,Ty Jerome,1629660,13.261290389013192,Derrick White,1628401,13.543040845526436,Chris Paul,101108,13.890923668592905
Tyrese Martin,1631213,Tristan da Silva,1641783,10.663315427851222,Dalton Knecht,1642261,10.932842586677086,Kyshawn George,1642273,11.51708725148265,Bub Carrington,1642267,11.945480328781287,Ja'Kobe Walter,1642266,12.225953686703741
Tyrese Maxey,1630178,De'Aaron Fox,1628368,9.314896079848197,Jalen Green,1630224,10.158212621968078,Donovan Mitchell,1628378,10.362366640570393,LaMelo Ball,1630163,10.462218530892791,Darius Garland,1629636,10.847545452734757
Tyus Jones,1626145,Tyrese Haliburton,1630169,11.721060250828755,Derrick White,1628401,12.234568703130265,Payton Pritchard,1630202,12.464891293257475,Fred VanVleet,1627832,12.587313062883316,Cameron Payne,1626166,14.505356372434402
