shot_type,count,year
Turnaround Jump Shot,8654,2004
Running Jump Shot,8628,2004
Dunk Shot,8058,2004
Tip Shot,7872,2004
Hook Shot,6944,2004
Fadeaway Jump Shot,5192,2004
Reverse Layup Shot,4738,2004
Slam Dunk Shot,4652,2004
Jump Bank Shot,3088,2004
Jump Hook Shot,2066,2004
Driving Dunk Shot,2016,2004
Alley Oop Dunk Shot,1568,2004
Driving Finger Roll Shot,1296,2004
Finger Roll Shot,1120,2004
Running Hook Shot,1012,2004
Running Layup Shot,998,2004
Follow Up Dunk Shot,884,2004
Alley Oop Layup shot,784,2004
Turnaround Hook Shot,724,2004
Driving Hook Shot,420,2004
Reverse Dunk Shot,410,2004
Running Dunk Shot,242,2004
Hook Bank Shot,152,2004
Running Finger Roll Shot,150,2004
Turnaround Finger Roll Shot,34,2004
Running Tip Shot,22,2004
Jump Shot,235682,2005
Layup Shot,65102,2005
Driving Layup Shot,19372,2005
Dunk Shot,9024,2005
Turnaround Jump Shot,8824,2005
Running Jump Shot,8482,2005
Tip Shot,8040,2005
Hook Shot,6646,2005
Reverse Layup Shot,4850,2005
Fadeaway Jump Shot,4846,2005
Slam Dunk Shot,4790,2005
Jump Bank Shot,3900,2005
Jump Hook Shot,2616,2005
Driving Dunk Shot,2288,2005
Alley Oop Dunk Shot,1882,2005
Driving Finger Roll Shot,1354,2005
Follow Up Dunk Shot,1342,2005
Running Layup Shot,1244,2005
Running Hook Shot,1090,2005
Finger Roll Shot,912,2005
Alley Oop Layup shot,820,2005
Turnaround Hook Shot,756,2005
Reverse Dunk Shot,482,2005
Driving Hook Shot,288,2005
Running Dunk Shot,234,2005
Running Finger Roll Shot,204,2005
Hook Bank Shot,150,2005
Turnaround Finger Roll Shot,22,2005
Running Tip Shot,10,2005
Jump Shot,228606,2006
Layup Shot,63050,2006
Driving Layup Shot,22246,2006
Running Jump Shot,8538,2006
Turnaround Jump Shot,8348,2006
Dunk Shot,7940,2006
Hook Shot,7376,2006
Tip Shot,7112,2006
Fadeaway Jump Shot,5602,2006
Reverse Layup Shot,5342,2006
Slam Dunk Shot,4566,2006
Jump Bank Shot,3366,2006
Jump Hook Shot,2634,2006
Driving Dunk Shot,2460,2006
Alley Oop Dunk Shot,2072,2006
Driving Finger Roll Shot,1528,2006
Running Layup Shot,1304,2006
Running Hook Shot,1188,2006
Follow Up Dunk Shot,1162,2006
Turnaround Hook Shot,1030,2006
Alley Oop Layup shot,950,2006
Finger Roll Shot,708,2006
Driving Hook Shot,406,2006
Reverse Dunk Shot,398,2006
Running Dunk Shot,276,2006
Running Finger Roll Shot,194,2006
Hook Bank Shot,144,2006
Turnaround Finger Roll Shot,62,2006
Running Tip Shot,20,2006
Jump Shot,229032,2007
Layup Shot,65996,2007
Driving Layup Shot,21444,2007
Running Jump Shot,8662,2007
Dunk Shot,7910,2007
Hook Shot,7830,2007
Turnaround Jump Shot,7584,2007
Tip Shot,7148,2007
Reverse Layup Shot,5660,2007
Fadeaway Jump Shot,5330,2007
Slam Dunk Shot,4614,2007
Jump Bank Shot,4328,2007
Jump Hook Shot,2800,2007
Driving Dunk Shot,1954,2007
Alley Oop Dunk Shot,1836,2007
Driving Finger Roll Shot,1676,2007
Running Layup Shot,1624,2007
Follow Up Dunk Shot,1122,2007
Alley Oop Layup shot,1096,2007
Running Hook Shot,1042,2007
Turnaround Hook Shot,1024,2007
Finger Roll Shot,826,2007
Driving Hook Shot,436,2007
Reverse Dunk Shot,406,2007
Running Dunk Shot,312,2007
Running Finger Roll Shot,210,2007
Hook Bank Shot,166,2007
Turnaround Finger Roll Shot,52,2007
Running Tip Shot,24,2007
Jump Shot,230120,2008
Layup Shot,60900,2008
Driving Layup Shot,21290,2008
Dunk Shot,8470,2008
Running Jump Shot,7972,2008
Turnaround Jump Shot,7882,2008
Tip Shot,7182,2008
Hook Shot,6426,2008
Fadeaway Jump Shot,5502,2008
Reverse Layup Shot,4766,2008
Slam Dunk Shot,4132,2008
Pullup Jump shot,3338,2008
Jump Bank Shot,3004,2008
Jump Hook Shot,2774,2008
Alley Oop Dunk Shot,2350,2008
Driving Dunk Shot,2294,2008
Running Layup Shot,2108,2008
Driving Finger Roll Layup Shot,1958,2008
Floating Jump shot,1810,2008
Putback Layup Shot,1556,2008
Turnaround Fadeaway shot,1524,2008
Step Back Jump shot,1426,2008
Driving Reverse Layup Shot,1256,2008
Finger Roll Layup Shot,1192,2008
Turnaround Hook Shot,1176,2008
Running Hook Shot,1158,2008
Alley Oop Layup shot,1124,2008
Putback Dunk Shot,986,2008
Running Bank shot,944,2008
Driving Slam Dunk Shot,654,2008
Turnaround Bank shot,494,2008
Running Dunk Shot,458,2008
Driving Jump shot,412,2008
Driving Hook Shot,364,2008
Reverse Dunk Shot,344,2008
Putback Slam Dunk Shot,312,2008
Running Finger Roll Layup Shot,170,2008
Hook Bank Shot,156,2008
Fadeaway Bank shot,150,2008
Driving Bank shot,146,2008
Running Slam Dunk Shot,134,2008
Pullup Bank shot,132,2008
Running Reverse Layup Shot,122,2008
Reverse Slam Dunk Shot,114,2008
Jump Bank Hook Shot,70,2008
Turnaround Bank Hook Shot,42,2008
Running Tip Shot,40,2008
Running Bank Hook Shot,30,2008
Driving Bank Hook Shot,30,2008
Putback Reverse Dunk Shot,8,2008
Jump Shot,220092,2009
Layup Shot,60536,2009
Driving Layup Shot,23068,2009
Dunk Shot,8644,2009
Running Jump Shot,7640,2009
Tip Shot,7276,2009
Turnaround Jump Shot,6976,2009
Pullup Jump shot,6772,2009
Fadeaway Jump Shot,6320,2009
Hook Shot,5656,2009
Reverse Layup Shot,4402,2009
Slam Dunk Shot,4154,2009
Jump Bank Shot,3148,2009
Jump Hook Shot,2674,2009
Floating Jump shot,2508,2009
Alley Oop Dunk Shot,2180,2009
Putback Layup Shot,2084,2009
Driving Finger Roll Layup Shot,2058,2009
Step Back Jump shot,2044,2009
Running Layup Shot,2010,2009
Turnaround Fadeaway shot,1956,2009
Driving Dunk Shot,1866,2009
Driving Reverse Layup Shot,1646,2009
Running Hook Shot,1354,2009
Putback Dunk Shot,1352,2009
Alley Oop Layup shot,1222,2009
Turnaround Hook Shot,1162,2009
Running Bank shot,1140,2009
Finger Roll Layup Shot,1104,2009
Driving Slam Dunk Shot,908,2009
Driving Jump shot,644,2009
Turnaround Bank shot,546,2009
Running Dunk Shot,446,2009
Driving Hook Shot,408,2009
Reverse Dunk Shot,296,2009
Putback Slam Dunk Shot,270,2009
Running Slam Dunk Shot,226,2009
Fadeaway Bank shot,182,2009
Driving Bank shot,178,2009
Hook Bank Shot,170,2009
Pullup Bank shot,142,2009
Reverse Slam Dunk Shot,142,2009
Running Reverse Layup Shot,130,2009
Running Finger Roll Layup Shot,120,2009
Turnaround Bank Hook Shot,64,2009
Jump Bank Hook Shot,62,2009
Running Tip Shot,30,2009
Running Bank Hook Shot,30,2009
Driving Bank Hook Shot,22,2009
Jump Shot,215228,2010
Layup Shot,60880,2010
Driving Layup Shot,24944,2010
Pullup Jump shot,8736,2010
Tip Shot,8582,2010
Dunk Shot,8218,2010
Running Jump Shot,7298,2010
Turnaround Jump Shot,6728,2010
Fadeaway Jump Shot,6348,2010
Hook Shot,6214,2010
Reverse Layup Shot,4752,2010
Slam Dunk Shot,3476,2010
Jump Bank Shot,3368,2010
Floating Jump shot,3288,2010
Jump Hook Shot,3178,2010
Step Back Jump shot,3012,2010
Putback Layup Shot,2476,2010
Alley Oop Dunk Shot,2196,2010
Driving Finger Roll Layup Shot,2062,2010
Turnaround Fadeaway shot,2052,2010
Driving Dunk Shot,1942,2010
Driving Reverse Layup Shot,1914,2010
Running Layup Shot,1854,2010
Alley Oop Layup shot,1390,2010
Running Hook Shot,1374,2010
Running Bank shot,1366,2010
Putback Dunk Shot,1264,2010
Turnaround Hook Shot,1262,2010
Finger Roll Layup Shot,1044,2010
Driving Jump shot,968,2010
Driving Slam Dunk Shot,808,2010
Turnaround Bank shot,588,2010
Driving Hook Shot,446,2010
Running Dunk Shot,438,2010
Reverse Dunk Shot,282,2010
Putback Slam Dunk Shot,278,2010
Running Slam Dunk Shot,238,2010
Fadeaway Bank shot,204,2010
Driving Bank shot,200,2010
Pullup Bank shot,180,2010
Hook Bank Shot,168,2010
Running Finger Roll Layup Shot,166,2010
Running Reverse Layup Shot,154,2010
Reverse Slam Dunk Shot,108,2010
Turnaround Bank Hook Shot,92,2010
Jump Bank Hook Shot,88,2010
Running Tip Shot,36,2010
Running Bank Hook Shot,32,2010
Driving Bank Hook Shot,12,2010
Jump Shot,222378,2011
Layup Shot,50300,2011
Driving Layup Shot,22110,2011
Pullup Jump shot,9404,2011
Tip Shot,8388,2011
Dunk Shot,7994,2011
Running Jump Shot,7092,2011
Turnaround Jump Shot,6782,2011
Hook Shot,6314,2011
Fadeaway Jump Shot,6272,2011
Reverse Layup Shot,4780,2011
Floating Jump shot,4148,2011
Jump Bank Shot,3842,2011
Slam Dunk Shot,3714,2011
Step Back Jump shot,3150,2011
Jump Hook Shot,2734,2011
Putback Layup Shot,2620,2011
Alley Oop Dunk Shot,2502,2011
Driving Jump shot,2384,2011
Driving Reverse Layup Shot,2038,2011
Turnaround Fadeaway shot,1880,2011
Driving Finger Roll Layup Shot,1826,2011
Running Layup Shot,1796,2011
Driving Dunk Shot,1760,2011
Turnaround Hook Shot,1642,2011
Alley Oop Layup shot,1578,2011
Running Bank shot,1398,2011
Running Hook Shot,1378,2011
Putback Dunk Shot,1312,2011
Finger Roll Layup Shot,1122,2011
Driving Slam Dunk Shot,944,2011
Turnaround Bank shot,564,2011
Driving Hook Shot,522,2011
Running Dunk Shot,384,2011
Driving Bank shot,336,2011
Putback Slam Dunk Shot,290,2011
Reverse Dunk Shot,254,2011
Running Reverse Layup Shot,228,2011
Running Slam Dunk Shot,212,2011
Hook Bank Shot,206,2011
Pullup Bank shot,204,2011
Fadeaway Bank shot,184,2011
Running Finger Roll Layup Shot,144,2011
Reverse Slam Dunk Shot,128,2011
Turnaround Bank Hook Shot,108,2011
Running Bank Hook Shot,58,2011
Jump Bank Hook Shot,52,2011
Running Tip Shot,46,2011
Driving Bank Hook Shot,18,2011
Putback Reverse Dunk Shot,2,2011
Jump Shot,176816,2012
Layup Shot,42408,2012
Driving Layup Shot,17434,2012
Pullup Jump shot,7812,2012
Tip Shot,6782,2012
Dunk Shot,6672,2012
Running Jump Shot,5786,2012
Turnaround Jump Shot,5320,2012
Fadeaway Jump Shot,5190,2012
Hook Shot,4752,2012
Reverse Layup Shot,3860,2012
Floating Jump shot,3712,2012
Slam Dunk Shot,2980,2012
Jump Bank Shot,2868,2012
Step Back Jump shot,2694,2012
Putback Layup Shot,2206,2012
Jump Hook Shot,2198,2012
Alley Oop Dunk Shot,2082,2012
Turnaround Fadeaway shot,1800,2012
Driving Jump shot,1722,2012
Running Layup Shot,1686,2012
Driving Finger Roll Layup Shot,1652,2012
Driving Dunk Shot,1512,2012
Driving Reverse Layup Shot,1466,2012
Turnaround Hook Shot,1426,2012
Running Bank shot,1160,2012
Running Hook Shot,1146,2012
Putback Dunk Shot,1056,2012
Alley Oop Layup shot,1024,2012
Finger Roll Layup Shot,980,2012
Driving Slam Dunk Shot,714,2012
Turnaround Bank shot,472,2012
Driving Hook Shot,446,2012
Running Dunk Shot,372,2012
Driving Bank shot,338,2012
Putback Slam Dunk Shot,284,2012
Running Slam Dunk Shot,268,2012
Reverse Dunk Shot,214,2012
Hook Bank Shot,202,2012
Fadeaway Bank shot,196,2012
Pullup Bank shot,166,2012
Running Reverse Layup Shot,146,2012
Running Finger Roll Layup Shot,92,2012
Turnaround Bank Hook Shot,80,2012
Reverse Slam Dunk Shot,66,2012
Jump Bank Hook Shot,50,2012
Running Tip Shot,42,2012
Running Bank Hook Shot,32,2012
Driving Bank Hook Shot,26,2012
Putback Reverse Dunk Shot,2,2012
Jump Shot,215756,2013
Layup Shot,53314,2013
Driving Layup Shot,22510,2013
Pullup Jump shot,11630,2013
Dunk Shot,8976,2013
Tip Shot,8250,2013
Running Jump Shot,6702,2013
Turnaround Jump Shot,6654,2013
Hook Shot,6048,2013
Fadeaway Jump Shot,5650,2013
Floating Jump shot,5266,2013
Reverse Layup Shot,4600,2013
Step Back Jump shot,4376,2013
Slam Dunk Shot,3474,2013
Jump Bank Shot,3226,2013
Putback Layup Shot,2932,2013
Jump Hook Shot,2854,2013
Driving Jump shot,2770,2013
Running Layup Shot,2702,2013
Alley Oop Dunk Shot,2646,2013
Turnaround Fadeaway shot,2522,2013
Driving Finger Roll Layup Shot,2144,2013
Driving Dunk Shot,1944,2013
Driving Reverse Layup Shot,1872,2013
Turnaround Hook Shot,1784,2013
Running Hook Shot,1524,2013
Running Bank shot,1436,2013
Alley Oop Layup shot,1340,2013
Putback Dunk Shot,1322,2013
Finger Roll Layup Shot,1038,2013
Driving Slam Dunk Shot,986,2013
Driving Hook Shot,802,2013
Turnaround Bank shot,604,2013
Driving Bank shot,528,2013
Running Dunk Shot,492,2013
Running Slam Dunk Shot,380,2013
Reverse Dunk Shot,290,2013
Putback Slam Dunk Shot,282,2013
Fadeaway Bank shot,224,2013
Running Finger Roll Layup Shot,210,2013
Running Reverse Layup Shot,202,2013
Pullup Bank shot,188,2013
Hook Bank Shot,186,2013
Turnaround Bank Hook Shot,150,2013
Reverse Slam Dunk Shot,102,2013
Jump Bank Hook Shot,94,2013
Running Tip Shot,80,2013
Running Bank Hook Shot,62,2013
Driving Bank Hook Shot,32,2013
Putback Reverse Dunk Shot,2,2013
Jump Shot,217284,2014
Layup Shot,52472,2014
Driving Layup Shot,24140,2014
Pullup Jump shot,13270,2014
Tip Shot,8376,2014
Dunk Shot,7852,2014
Running Jump Shot,7218,2014
Hook Shot,6896,2014
Turnaround Jump Shot,6178,2014
Step Back Jump shot,5432,2014
Floating Jump shot,5432,2014
Fadeaway Jump Shot,5330,2014
Reverse Layup Shot,4420,2014
Slam Dunk Shot,3318,2014
Driving Jump shot,3262,2014
Jump Bank Shot,3184,2014
Jump Hook Shot,2952,2014
Putback Layup Shot,2676,2014
Alley Oop Dunk Shot,2658,2014
Running Layup Shot,2520,2014
Driving Finger Roll Layup Shot,2268,2014
Turnaround Fadeaway shot,2212,2014
Driving Dunk Shot,2124,2014
Driving Reverse Layup Shot,2122,2014
Turnaround Hook Shot,1996,2014
Running Bank shot,1720,2014
Running Hook Shot,1478,2014
Alley Oop Layup shot,1268,2014
Putback Dunk Shot,1232,2014
Driving Slam Dunk Shot,1144,2014
Finger Roll Layup Shot,1136,2014
Driving Hook Shot,674,2014
Turnaround Bank shot,638,2014
Driving Bank shot,544,2014
Running Dunk Shot,380,2014
Running Slam Dunk Shot,352,2014
Putback Slam Dunk Shot,260,2014
Reverse Dunk Shot,240,2014
Running Reverse Layup Shot,234,2014
Pullup Bank shot,222,2014
Fadeaway Bank shot,184,2014
Running Finger Roll Layup Shot,178,2014
Turnaround Bank Hook Shot,178,2014
Hook Bank Shot,174,2014
Reverse Slam Dunk Shot,122,2014
Running Tip Shot,108,2014
Jump Bank Hook Shot,88,2014
Running Bank Hook Shot,54,2014
Driving Bank Hook Shot,46,2014
Putback Reverse Dunk Shot,6,2014
Jump Shot,216878,2015
Layup Shot,52070,2015
Driving Layup Shot,23994,2015
Pullup Jump shot,14116,2015
Tip Shot,8448,2015
Hook Shot,7738,2015
Dunk Shot,7500,2015
Running Jump Shot,6854,2015
Turnaround Jump Shot,6092,2015
Floating Jump shot,6046,2015
Step Back Jump shot,6010,2015
Fadeaway Jump Shot,5132,2015
Reverse Layup Shot,4356,2015
Driving Jump shot,3336,2015
Slam Dunk Shot,3254,2015
Jump Bank Shot,3216,2015
Jump Hook Shot,2866,2015
Running Layup Shot,2818,2015
Alley Oop Dunk Shot,2772,2015
Putback Layup Shot,2706,2015
Driving Finger Roll Layup Shot,2478,2015
Turnaround Fadeaway shot,2386,2015
Turnaround Hook Shot,2322,2015
Driving Reverse Layup Shot,2198,2015
Driving Dunk Shot,1944,2015
Running Bank shot,1816,2015
Running Hook Shot,1520,2015
Alley Oop Layup shot,1402,2015
Driving Slam Dunk Shot,1202,2015
Putback Dunk Shot,1186,2015
Finger Roll Layup Shot,1122,2015
Driving Bank shot,780,2015
Driving Hook Shot,712,2015
Turnaround Bank shot,602,2015
Running Dunk Shot,456,2015
Running Slam Dunk Shot,408,2015
Putback Slam Dunk Shot,318,2015
Running Finger Roll Layup Shot,288,2015
Running Reverse Layup Shot,286,2015
Reverse Dunk Shot,246,2015
Pullup Bank shot,240,2015
Hook Bank Shot,220,2015
Fadeaway Bank shot,210,2015
Turnaround Bank Hook Shot,164,2015
Running Tip Shot,140,2015
Reverse Slam Dunk Shot,76,2015
Running Bank Hook Shot,60,2015
Jump Bank Hook Shot,58,2015
Driving Bank Hook Shot,58,2015
Jump Shot,197338,2016
Layup Shot,36286,2016
Driving Layup Shot,26132,2016
Pullup Jump shot,24508,2016
Floating Jump shot,10494,2016
Hook Shot,9310,2016
Step Back Jump shot,8912,2016
Tip Layup Shot,8428,2016
Running Layup Shot,7234,2016
Turnaround Jump Shot,7134,2016
Dunk Shot,6538,2016
Cutting Layup Shot,6524,2016
Fadeaway Jump Shot,5900,2016
Driving Finger Roll Layup Shot,4442,2016
Driving Floating Jump Shot,4426,2016
Putback Layup Shot,3934,2016
Reverse Layup Shot,3848,2016
Running Jump Shot,3722,2016
Jump Bank Shot,3566,2016
Turnaround Hook Shot,3530,2016
Turnaround Fadeaway shot,3276,2016
Cutting Dunk Shot,3014,2016
Alley Oop Dunk Shot,2976,2016
Driving Reverse Layup Shot,2870,2016
Driving Dunk Shot,2816,2016
Running Dunk Shot,2570,2016
Driving Hook Shot,1984,2016
Driving Bank shot,1960,2016
Alley Oop Layup shot,1708,2016
Finger Roll Layup Shot,1324,2016
Putback Dunk Shot,1266,2016
Driving Floating Bank Jump Shot,1028,2016
Running Finger Roll Layup Shot,966,2016
Turnaround Bank shot,774,2016
Cutting Finger Roll Layup Shot,770,2016
Running Pull-Up Jump Shot,684,2016
Running Reverse Layup Shot,576,2016
Pullup Bank shot,556,2016
Tip Dunk Shot,528,2016
Hook Bank Shot,366,2016
Running Alley Oop Dunk Shot,262,2016
Fadeaway Bank shot,256,2016
Reverse Dunk Shot,242,2016
Turnaround Bank Hook Shot,220,2016
Driving Bank Hook Shot,158,2016
Turnaround Fadeaway Bank Jump Shot,122,2016
Step Back Bank Jump Shot,84,2016
Running Alley Oop Layup Shot,68,2016
Driving Reverse Dunk Shot,60,2016
No Shot,42,2016
Running Reverse Dunk Shot,30,2016
Driving Jump shot,20,2016
Running Hook Shot,4,2016
Jump Shot,193738,2017
Layup Shot,32382,2017
Pullup Jump shot,30096,2017
Driving Layup Shot,27442,2017
Floating Jump shot,9224,2017
Step Back Jump shot,9072,2017
Hook Shot,8644,2017
Tip Layup Shot,8126,2017
Cutting Layup Shot,7788,2017
Running Layup Shot,7390,2017
Turnaround Jump Shot,6664,2017
Driving Floating Jump Shot,6462,2017
Fadeaway Jump Shot,5710,2017
Dunk Shot,5664,2017
Putback Layup Shot,4660,2017
Driving Finger Roll Layup Shot,4582,2017
Cutting Dunk Shot,4348,2017
Reverse Layup Shot,3834,2017
Running Jump Shot,3730,2017
Turnaround Hook Shot,3688,2017
Turnaround Fadeaway shot,3634,2017
Driving Reverse Layup Shot,3442,2017
Alley Oop Dunk Shot,3006,2017
Jump Bank Shot,2970,2017
Driving Dunk Shot,2916,2017
Running Dunk Shot,2666,2017
Driving Hook Shot,2622,2017
Alley Oop Layup shot,1742,2017
Driving Bank shot,1670,2017
Driving Floating Bank Jump Shot,1578,2017
Putback Dunk Shot,1326,2017
Running Pull-Up Jump Shot,1234,2017
Finger Roll Layup Shot,1202,2017
Running Finger Roll Layup Shot,970,2017
Cutting Finger Roll Layup Shot,886,2017
Turnaround Bank shot,788,2017
Pullup Bank shot,704,2017
Tip Dunk Shot,638,2017
Running Reverse Layup Shot,566,2017
Hook Bank Shot,316,2017
Running Alley Oop Dunk Shot,280,2017
Fadeaway Bank shot,260,2017
Driving Bank Hook Shot,244,2017
Reverse Dunk Shot,240,2017
Turnaround Bank Hook Shot,176,2017
No Shot,120,2017
Running Alley Oop Layup Shot,104,2017
Driving Reverse Dunk Shot,96,2017
Turnaround Fadeaway Bank Jump Shot,86,2017
Step Back Bank Jump Shot,76,2017
Running Reverse Dunk Shot,40,2017
Driving Jump shot,10,2017
Running Hook Shot,6,2017
Jump Shot,167110,2018
Pullup Jump shot,41128,2018
Driving Layup Shot,35706,2018
Layup Shot,27126,2018
Step Back Jump shot,11974,2018
Driving Floating Jump Shot,10250,2018
Cutting Layup Shot,10006,2018
Floating Jump shot,9990,2018
Tip Layup Shot,8566,2018
Running Layup Shot,8538,2018
Hook Shot,8164,2018
Turnaround Jump Shot,6902,2018
Driving Finger Roll Layup Shot,6668,2018
Fadeaway Jump Shot,6484,2018
Cutting Dunk Shot,5080,2018
Dunk Shot,5066,2018
Putback Layup Shot,4782,2018
Turnaround Fadeaway shot,4528,2018
Turnaround Hook Shot,4256,2018
Reverse Layup Shot,3930,2018
Driving Reverse Layup Shot,3810,2018
Driving Floating Bank Jump Shot,3674,2018
Alley Oop Dunk Shot,3436,2018
Driving Dunk Shot,3298,2018
Running Jump Shot,2962,2018
Running Dunk Shot,2814,2018
Driving Hook Shot,2500,2018
Alley Oop Layup shot,2100,2018
Jump Bank Shot,2058,2018
Running Pull-Up Jump Shot,1502,2018
Running Finger Roll Layup Shot,1302,2018
Finger Roll Layup Shot,1282,2018
Putback Dunk Shot,1280,2018
Turnaround Fadeaway Bank Jump Shot,1184,2018
Cutting Finger Roll Layup Shot,972,2018
Tip Dunk Shot,728,2018
Running Reverse Layup Shot,656,2018
Turnaround Bank Hook Shot,286,2018
Hook Bank Shot,272,2018
Running Alley Oop Dunk Shot,266,2018
Driving Bank Hook Shot,238,2018
Reverse Dunk Shot,182,2018
Step Back Bank Jump Shot,128,2018
Running Alley Oop Layup Shot,116,2018
Driving Reverse Dunk Shot,80,2018
Running Reverse Dunk Shot,34,2018
Jump Shot,155034,2019
Pullup Jump shot,47918,2019
Driving Layup Shot,40680,2019
Layup Shot,22808,2019
Step Back Jump shot,15756,2019
Driving Floating Jump Shot,14654,2019
Cutting Layup Shot,10572,2019
Tip Layup Shot,9768,2019
Floating Jump shot,9760,2019
Running Layup Shot,9336,2019
Driving Finger Roll Layup Shot,8336,2019
Hook Shot,7328,2019
Fadeaway Jump Shot,7222,2019
Turnaround Jump Shot,6574,2019
Cutting Dunk Shot,6454,2019
Turnaround Hook Shot,5504,2019
Putback Layup Shot,5490,2019
Turnaround Fadeaway shot,5092,2019
Dunk Shot,4724,2019
Driving Floating Bank Jump Shot,4686,2019
Driving Reverse Layup Shot,4406,2019
Driving Dunk Shot,3900,2019
Alley Oop Dunk Shot,3726,2019
Reverse Layup Shot,3516,2019
Running Dunk Shot,3444,2019
Driving Hook Shot,2894,2019
Running Jump Shot,2796,2019
Alley Oop Layup shot,2180,2019
Running Pull-Up Jump Shot,2032,2019
Jump Bank Shot,1886,2019
Running Finger Roll Layup Shot,1638,2019
Tip Dunk Shot,1524,2019
Cutting Finger Roll Layup Shot,1280,2019
Turnaround Fadeaway Bank Jump Shot,1162,2019
Putback Dunk Shot,1050,2019
Finger Roll Layup Shot,1038,2019
Running Reverse Layup Shot,678,2019
Turnaround Bank Hook Shot,458,2019
Hook Bank Shot,390,2019
Driving Bank Hook Shot,330,2019
Running Alley Oop Dunk Shot,270,2019
Reverse Dunk Shot,240,2019
Running Alley Oop Layup Shot,138,2019
Step Back Bank Jump Shot,106,2019
Driving Reverse Dunk Shot,98,2019
Running Reverse Dunk Shot,40,2019
Jump Shot,128924,2020
Pullup Jump shot,41532,2020
Driving Layup Shot,35528,2020
Step Back Jump shot,15868,2020
Driving Floating Jump Shot,15710,2020
Layup Shot,15130,2020
Cutting Layup Shot,9504,2020
Driving Finger Roll Layup Shot,8786,2020
Floating Jump shot,8768,2020
Running Layup Shot,8394,2020
Tip Layup Shot,8024,2020
